Gene Set	AUC	p-value	FDR	Rank
ANTI_CD44_DOWN	0.609626	0.115	0.685765	85
etsPathway	0.609626	0.115	0.685765	85
tercPathway	0.609626	0.119	0.685765	87
vitcbPathway	0.609626	0.119	0.685765	87
mitochondr	0.445633	0.119	0.685765	87
s1pPathway	0.606061	0.121	0.685765	90
metPathway	0.604278	0.123	0.685765	91
CR_REPAIR	0.604278	0.123	0.685765	91
MAP00330_Arginine_and_proline_metabolism	0.601604	0.125	0.685765	93
rarrxrPathway	0.600713	0.126	0.685765	94
feederPathway	0.600713	0.129	0.685765	95
reckPathway	0.602496	0.129	0.685765	95
dcPathway	0.59893	0.131	0.685765	97
INSULIN_2F_UP	0.495544	0.132	0.685765	98
fatty_acid_metabolism	0.597148	0.133	0.685765	99
GPCRs_Class_B_Secretin-like	0.597148	0.133	0.685765	99
MAP00220_Urea_cycle_and_metabolism_of_amino_groups	0.593583	0.134	0.685765	101
MAP00020_Citrate_cycle_TCA_cycle	0.593583	0.134	0.685765	101
parkinsonsPathway	0.604278	0.137	0.686177	103
MAP00410_beta_Alanine_metabolism	0.5918	0.137	0.686177	103
ldlPathway	0.5918	0.14	0.686177	105
MAP00150_Androgen_and_estrogen_metabolism	0.588235	0.142	0.686177	106
Matrix_Metalloproteinases	0.588235	0.142	0.686177	106
tsp1Pathway	0.590018	0.144	0.686177	108
fmlppathway	0.586453	0.146	0.686177	109
pmlPathway	0.58467	0.147	0.686177	110
NFKB_INDUCED	0.525847	0.148	0.686177	111
TGF_Beta_Signaling_Pathway	0.58467	0.149	0.686177	112
fcer1Pathway	0.582888	0.151	0.686177	113
MAP00251_Glutamate_metabolism	0.579323	0.153	0.686177	114
rac1Pathway	0.579323	0.153	0.686177	114
CR_TRANSPORT	0.58467	0.153	0.686177	114
ctla4Pathway	0.57754	0.157	0.686177	117
ST_JNK_MAPK_Pathway	0.57754	0.158	0.686177	118
ANDROGEN_GENES_FROM_NETAFFX	0.557932	0.158	0.686177	118
keratinocytePathway	0.575758	0.159	0.686177	120
MAP00603_Globoside_metabolism	0.579323	0.16	0.686177	121
MAP00100_Sterol_biosynthesis	0.57754	0.162	0.686177	122
muscle_myosin	0.573975	0.163	0.686177	123
cell_proliferation	0.456328	0.163	0.686177	123
LEU_DOWN	0.467023	0.17	0.706961	125
mef2dPathway	0.57041	0.171	0.706961	126
ctlPathway	0.568627	0.172	0.706961	127
GPCRs_Class_A_Rhodopsin-like	0.506239	0.178	0.725906	128
th1th2Pathway	0.561497	0.183	0.740512	129
ROS	0.566845	0.185	0.742846	130
parkinPathway	0.565062	0.188	0.74913	131
tcrPathway	0.54902	0.192	0.755094	132
ureacyclePathway	0.561497	0.2	0.755094	133
akap13Pathway	0.561497	0.2	0.755094	133
MAP_kinase_kinase_activity	0.559715	0.202	0.755094	135
FRASOR_ER_DOWN	0.531194	0.202	0.755094	135
GPCRs_Class_A_Rhodopsin-like_2	0.557932	0.205	0.755094	137
tumor_supressor	0.552585	0.206	0.755094	138
GLUT_DOWN	0.424242	0.211	0.755094	139
tollPathway	0.536542	0.212	0.755094	140
CR_TRANSPORT_OF_VESICLES	0.54902	0.214	0.755094	141
MAP00532_Chondroitin_Heparan_sulfate_biosynthesis	0.559715	0.218	0.755094	142
rabPathway	0.552585	0.218	0.755094	142
UPREG_BY_HOXA9	0.531194	0.221	0.755094	144
insulinPathway	0.543672	0.222	0.755094	145
MAP00632_Benzoate_degradation	0.550802	0.222	0.755094	145
MAP00480_Glutathione_metabolism	0.543672	0.222	0.755094	145
mitrPathway	0.54902	0.223	0.755094	148
HUMAN_CD34_ENRICHED_TF_JP	0.442068	0.223	0.755094	148
pepiPathway	0.54902	0.223	0.755094	148
pparPathway	0.55615	0.226	0.755094	151
RAP_UP	0.440285	0.227	0.755094	152
betaoxidationPathway	0.547237	0.227	0.755094	152
KRAS_TOP100_CONTROL	0.515152	0.227	0.755094	152
carm-erPathway	0.527629	0.228	0.755094	155
ccr5Pathway	0.540107	0.23	0.755094	156
cblPathway	0.540107	0.23	0.755094	156
slrp2Pathway	0.554367	0.23	0.755094	156
HTERT_UP	0.481283	0.23	0.755094	156
cell2cellPathway	0.538324	0.233	0.760163	160
INSULIN_2F_DOWN	0.524064	0.237	0.762923	161
ST_G_alpha_5_Pathway	0.536542	0.237	0.762923	161
tertPathway	0.541889	0.24	0.762923	163
eosinophilsPathway	0.541889	0.24	0.762923	163
ST_Phosphoinositide_3_Kinase_Pathway	0.522282	0.242	0.762923	165
HOXA9_DOWN	0.518717	0.246	0.762923	166
cell_death	0.529412	0.247	0.762923	167
cdmacPathway	0.529412	0.247	0.762923	167
pitx2Pathway	0.529412	0.247	0.762923	167
CR_HORMONAL_FUNCTIONS	0.527629	0.253	0.772316	170
cdc42racPathway	0.527629	0.253	0.772316	170
CR_CYTOSKELETON	0.520499	0.268	0.813349	172
no2il12Pathway	0.518717	0.274	0.825285	173
ST_T_Cell_Signal_Transduction	0.504456	0.278	0.825285	174
sppaPathway	0.516934	0.279	0.825285	175
ps1Pathway	0.516934	0.279	0.825285	175
setPathway	0.515152	0.282	0.825285	177
erk5Pathway	0.515152	0.282	0.825285	177
Glycogen_Metabolism	0.500891	0.283	0.825285	179
il17Pathway	0.513369	0.286	0.8294	180
chrebpPathway	0.509804	0.293	0.840293	181
MAP03020_RNA_polymerase	0.509804	0.293	0.840293	181
MAP00252_Alanine_and_aspartate_metabolism	0.508021	0.299	0.840293	183
il7Pathway	0.506239	0.303	0.840293	184
alternativePathway	0.515152	0.308	0.840293	185
S1P_Signaling	0.504456	0.31	0.840293	186
RAP_DOWN	0.402852	0.31	0.840293	186
CR_SIGNALLING	0.41533	0.314	0.840293	188
plcdPathway	0.518717	0.316	0.840293	189
tgfbPathway	0.502674	0.317	0.840293	190
cskPathway	0.502674	0.317	0.840293	190
CR_DNA_MET_AND_MOD	0.502674	0.317	0.840293	190
erythPathway	0.502674	0.317	0.840293	190
amiPathway	0.502674	0.317	0.840293	190
MAP00071_Fatty_acid_metabolism	0.488414	0.322	0.840293	195
il10Pathway	0.500891	0.323	0.840293	196
ngfPathway	0.500891	0.323	0.840293	196
stressPathway	0.500891	0.323	0.840293	196
MAP00051_Fructose_and_mannose_metabolism	0.500891	0.323	0.840293	196
GLUCOSE_DOWN	0.42959	0.325	0.840293	200
thelperPathway	0.499109	0.328	0.840293	201
mprPathway	0.497326	0.33	0.840293	202
il6Pathway	0.497326	0.33	0.840293	202
crebPathway	0.497326	0.33	0.840293	202
MAP00052_Galactose_metabolism	0.497326	0.33	0.840293	202
MAP00533_Keratan_sulfate_biosynthesis	0.506239	0.334	0.842261	206
erkPathway	0.484848	0.334	0.842261	206
botulinPathway	0.509804	0.338	0.84825	208
MAP00062_Fatty_acid_biosynthesis_path_2	0.502674	0.34	0.849187	209
achPathway	0.493761	0.342	0.850114	210
stemPathway	0.491979	0.344	0.851033	211
rnaPathway	0.500891	0.347	0.852195	212
MAP00310_Lysine_degradation	0.490196	0.35	0.852195	213
igf1mtorPathway	0.490196	0.35	0.852195	213
hbxPathway	0.499109	0.351	0.852195	215
bcrPathway	0.477718	0.354	0.8555	216
Pentose_Phosphate_Pathway	0.502674	0.358	0.857403	217
gata3Pathway	0.488414	0.36	0.857403	218
igf1Pathway	0.488414	0.36	0.857403	218
MAP00280_Valine_leucine_and_isoleucine_degradation	0.486631	0.363	0.857403	220
EGF_receptor_signaling_pathway	0.48574	0.363	0.857403	220
ccr3Pathway	0.484848	0.366	0.857571	222
d4gdiPathway	0.483066	0.371	0.857571	223
MAP00790_Folate_biosynthesis	0.481283	0.379	0.857571	224
ST_B_Cell_Antigen_Receptor	0.472371	0.379	0.857571	224
G13_Signaling_Pathway	0.472371	0.379	0.857571	224
PGC	0.361854	0.383	0.857571	227
akapCentrosomePathway	0.479501	0.383	0.857571	227
nthiPathway	0.479501	0.383	0.857571	227
hcmvPathway	0.479501	0.383	0.857571	227
human_mitoDB_6_2002	0.361854	0.383	0.857571	227
ST_Gaq_Pathway	0.470588	0.384	0.857571	232
rhoPathway	0.470588	0.384	0.857571	232
MAP00360_Phenylalanine_metabolism	0.477718	0.387	0.857571	234
atrbrcaPathway	0.475936	0.39	0.857571	235
biopeptidesPathway	0.468806	0.39	0.857571	235
mRNA_processing	0.468806	0.39	0.857571	235
MAP00272_Cysteine_metabolism	0.484848	0.391	0.857571	238
nktPathway	0.467023	0.396	0.857726	239
SA_PTEN_PATHWAY	0.474153	0.396	0.857726	239
ST_Wnt_beta_catenin_Pathway	0.474153	0.396	0.857726	239
ST_Jak_STAT_Pathway	0.483066	0.398	0.858496	242
fosbPathway	0.488414	0.402	0.862898	243
MAP00562_Inositol_phosphate_metabolism	0.470588	0.404	0.862898	244
egfPathway	0.463458	0.405	0.862898	245
neurotransmittersPathway	0.481283	0.408	0.865756	246
plcePathway	0.467023	0.417	0.875724	247
electron_transport	0.447415	0.421	0.875724	248
arapPathway	0.465241	0.429	0.875724	249
ANDROGEN_UP_GENES	0.44385	0.433	0.875724	250
MAP00740_Riboflavin_metabolism	0.476827	0.434	0.875724	251
GLUCO	0.456328	0.438	0.875724	252
HOX_LIST_JP	0.456328	0.438	0.875724	252
KET	0.470588	0.439	0.875724	254
ifnaPathway	0.470588	0.439	0.875724	254
P53_DOWN	0.463458	0.44	0.875724	256
acetaminophenPathway	0.474153	0.447	0.875724	257
MYC_MUT	0.474153	0.447	0.875724	257
il5Pathway	0.467023	0.447	0.875724	257
relaPathway	0.461676	0.448	0.875724	260
nos1Pathway	0.461676	0.448	0.875724	260
ST_IL_13_PATHWAY	0.465241	0.454	0.875724	262
caspase_activity	0.465241	0.454	0.875724	262
ST_Interleukin_13_Pathway	0.465241	0.454	0.875724	262
SIG_InsulinReceptorPathwayInCardiacMyocytes	0.45098	0.456	0.875724	265
AR_ORTHOS_MAPPED_TO_U133_VIA_NETAFFX	0.447415	0.467	0.875724	266
Proteasome_Degradation	0.447415	0.467	0.875724	266
MAP00260_Glycine_serine_and_threonine_metabolism	0.458111	0.467	0.875724	266
actinYPathway	0.458111	0.467	0.875724	266
AR_MOUSE	0.447415	0.467	0.875724	266
HTERT_DOWN	0.43672	0.469	0.875724	271
methioninePathway	0.467023	0.471	0.875724	272
cd40Pathway	0.456328	0.471	0.875724	272
argininecPathway	0.459893	0.475	0.875724	274
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases	0.445633	0.477	0.875724	275
ptc1Pathway	0.454545	0.478	0.875724	276
MAP00460_Cyanoamino_acid_metabolism	0.465241	0.479	0.875724	277
gsPathway	0.458111	0.481	0.875724	278
MAP00140_C21_Steroid_hormone_metabolism	0.458111	0.481	0.875724	278
soddPathway	0.458111	0.481	0.875724	278
il18Pathway	0.458111	0.481	0.875724	278
cptPathway	0.461676	0.484	0.875724	282
erbb3Pathway	0.461676	0.484	0.875724	282
tpoPathway	0.452763	0.485	0.875724	284
cell_growth_and_or_maintenance	0.433155	0.487	0.875724	285
Wnt_Signaling	0.44385	0.488	0.875724	286
circadianPathway	0.456328	0.491	0.875724	287
GLUCOSE_UP	0.442068	0.492	0.875724	288
SA_CASPASE_CASCADE	0.45098	0.496	0.875724	289
tcytotoxicPathway	0.45098	0.496	0.875724	289
ST_Tumor_Necrosis_Factor_Pathway	0.440285	0.498	0.875724	291
ST_G_alpha_i_Pathway_	0.440285	0.498	0.875724	291
carm1Pathway	0.449198	0.499	0.875724	293
vipPathway	0.447415	0.504	0.875724	294
MAP00640_Propanoate_metabolism	0.447415	0.504	0.875724	294
inflamPathway	0.438503	0.507	0.875724	296
BRCA_DOWN	0.445633	0.508	0.875724	297
electron_transporter_activity	0.399287	0.508	0.875724	297
ST_GRANULE_CELL_SURVIVAL_PATHWAY	0.445633	0.508	0.875724	297
nfkbPathway	0.445633	0.508	0.875724	297
vegfPathway	0.445633	0.508	0.875724	297
FETAL_LIVER_HS_ENRICHED_TF_JP	0.426025	0.509	0.875724	302
krebPathway	0.452763	0.51	0.875724	303
MAP00271_Methionine_metabolism	0.452763	0.51	0.875724	303
ST_Integrin_Signaling_Pathway	0.424242	0.513	0.877987	305
MAP00240_Pyrimidine_metabolism	0.43672	0.518	0.880769	306
MAP00010_Glycolysis_Gluconeogenesis	0.43672	0.518	0.880769	306
ionPathway	0.447415	0.531	0.899942	308
insulin_signalling	0.406417	0.541	0.913922	309
VOXPHOS	0.417112	0.546	0.919245	310
cell_surface_receptor_linked_signal_transduction	0.392157	0.55	0.919245	311
SIG_PIP3_signaling_in_B_lymphocytes	0.426025	0.552	0.919245	312
p38mapkPathway	0.426025	0.552	0.919245	312
pdgfPathway	0.424242	0.558	0.919245	314
ST_MONOCYTE_AD_PATHWAY	0.434938	0.558	0.919245	314
SA_BONE_MORPHOGENETIC	0.438503	0.559	0.919245	316
stat3Pathway	0.442068	0.56	0.919245	317
CR_CAM	0.402852	0.56	0.919245	317
AR_MOUSE_PLUS_TESTO_FROM_NETAFFX	0.42246	0.567	0.924919	319
pyk2Pathway	0.42246	0.567	0.924919	319
INS	0.431373	0.572	0.930168	321
CR_CANCER_TESTIS	0.438503	0.575	0.932143	322
cell_adhesion	0.363636	0.579	0.933515	323
MAP00531_Glycosaminoglycan_degradation	0.43672	0.58	0.933515	324
GLYCOGEN	0.42959	0.583	0.933515	325
cremPathway	0.434938	0.583	0.933515	325
cftrPathway	0.427807	0.589	0.933867	327
mcalpainPathway	0.427807	0.589	0.933867	327
SA_MMP_CYTOKINE_CONNECTION	0.427807	0.589	0.933867	327
mrpPathway	0.42959	0.597	0.933867	330
MAP00380_Tryptophan_metabolism	0.413547	0.598	0.933867	331
edg1Pathway	0.424242	0.599	0.933867	332
ndkDynaminPathway	0.424242	0.599	0.933867	332
tnfr2Pathway	0.424242	0.599	0.933867	332
rarPathway	0.427807	0.6	0.933867	335
mapkPathway	0.393939	0.604	0.933867	336
etcPathway	0.427807	0.604	0.933867	336
pparaPathway	0.411765	0.605	0.933867	338
HEMO_TF_LIST_JP	0.392157	0.616	0.933867	339
cell_cycle_checkpoint	0.420677	0.619	0.933867	340
XINACT_MERGED	0.420677	0.619	0.933867	340
MAP03070_Type_III_secretion_system	0.420677	0.619	0.933867	340
salmonellaPathway	0.420677	0.619	0.933867	340
ecmPathway	0.420677	0.619	0.933867	340
MAP00193_ATP_synthesis	0.420677	0.619	0.933867	340
shhPathway	0.420677	0.619	0.933867	340
eea1Pathway	0.42246	0.624	0.934261	347
aifPathway	0.42246	0.624	0.934261	347
cell_adhesion_molecule_activity	0.390374	0.627	0.934261	349
tRNA_Synthetases	0.418895	0.63	0.934261	350
fibrinolysisPathway	0.418895	0.63	0.934261	350
TESTIS_GENES_FROM_XHX_AND_NETAFFX	0.406417	0.63	0.934261	350
il2Pathway	0.417112	0.638	0.936961	353
proteasomePathway	0.417112	0.638	0.936961	353
MAP00120_Bile_acid_biosynthesis	0.417112	0.638	0.936961	353
hdacPathway	0.402852	0.639	0.936961	356
vobesityPathway	0.418895	0.641	0.937261	357
no1Pathway	0.40107	0.645	0.937855	358
fasPathway	0.40107	0.645	0.937855	358
ST_Wnt_Ca2_cyclic_GMP_Pathway	0.41533	0.647	0.937902	360
vifPathway	0.417112	0.652	0.937902	361
GNF_FEMALE_GENES	0.385027	0.652	0.937902	361
dbpbPathway	0.41533	0.658	0.937902	363
notchPathway	0.41533	0.658	0.937902	363
MAP00601_Blood_group_glycolipid_biosynthesis_lact_series	0.41533	0.661	0.937902	365
alkPathway	0.397504	0.663	0.937902	366
Fatty_Acid_Degradation	0.411765	0.663	0.937902	366
ANTI_CD44_UP	0.411765	0.663	0.937902	366
spryPathway	0.411765	0.663	0.937902	366
at1rPathway	0.395722	0.67	0.941839	370
MAP00340_Histidine_metabolism	0.409982	0.672	0.941839	371
41bbPathway	0.409982	0.672	0.941839	371
ranPathway	0.411765	0.673	0.941839	373
fbw7Pathway	0.409982	0.678	0.942968	374
MAP00561_Glycerolipid_metabolism	0.393939	0.679	0.942968	375
ptdinsPathway	0.406417	0.695	0.942968	376
MAP00500_Starch_and_sucrose_metabolism	0.404635	0.701	0.942968	377
ghPathway	0.390374	0.701	0.942968	377
tidPathway	0.404635	0.701	0.942968	377
MAP00590_Prostaglandin_and_leukotriene_metabolism	0.404635	0.701	0.942968	377
PYR	0.404635	0.702	0.942968	381
plcPathway	0.404635	0.702	0.942968	381
shh_lisa	0.401961	0.706	0.942968	383
tall1Pathway	0.402852	0.706	0.942968	383
eif4Pathway	0.402852	0.706	0.942968	383
FA	0.402852	0.706	0.942968	383
ST_ADRENERGIC	0.388592	0.709	0.942968	387
EMT_DOWN	0.388592	0.709	0.942968	387
MAP00860_Porphyrin_and_chlorophyll_metabolism	0.40107	0.711	0.942968	389
agpcrPathway	0.402852	0.711	0.942968	389
erbb4Pathway	0.402852	0.711	0.942968	389
par1Pathway	0.40107	0.711	0.942968	389
cell_motility	0.370766	0.712	0.942968	393
gabaPathway	0.40107	0.718	0.942968	394
MAP00760_Nicotinate_and_nicotinamide_metabolism	0.40107	0.719	0.942968	395
cacamPathway	0.397504	0.721	0.942968	396
dnafragmentPathway	0.399287	0.727	0.942968	397
ST_PAC1_RECEPTOR_PATHWAY	0.399287	0.727	0.942968	397
il22bpPathway	0.399287	0.727	0.942968	397
MAP00720_Reductive_carboxylate_cycle_CO2_fixation	0.399287	0.727	0.942968	397
gpcrPathway	0.383244	0.728	0.942968	401
SIG_BCR_Signaling_Pathway	0.383244	0.728	0.942968	401
ST_Ga13_Pathway	0.383244	0.728	0.942968	401
SIG_PIP3SIGINCARDIACMYOCTES	0.379679	0.73	0.943218	404
MAP00650_Butanoate_metabolism	0.393939	0.734	0.946044	405
igf1rPathway	0.392157	0.74	0.951429	406
MAP00195_Photosynthesis	0.390374	0.745	0.952099	407
trkaPathway	0.388592	0.75	0.952099	408
MAP00512_O_Glycans_biosynthesis	0.390374	0.752	0.952099	409
ppargPathway	0.393939	0.753	0.952099	410
CBF_LEUKEMIA_DOWNING_AML	0.372549	0.758	0.952099	411
ranklPathway	0.386809	0.759	0.952099	412
p35alzheimersPathway	0.392157	0.759	0.952099	412
egfr_smrtePathway	0.392157	0.759	0.952099	412
ST_ERK1_ERK2_MAPK_Pathway	0.376114	0.76	0.952099	415
ST_G_Protein_Independent_7_Transmembrane	0.388592	0.763	0.952099	416
ST_G_Protein_Independent_7_Transmembrane_Receptor_Signaling	0.388592	0.763	0.952099	416
skp2e2fPathway	0.390374	0.765	0.952099	418
tcrMoleculePathway	0.390374	0.765	0.952099	418
MAP00510_N_Glycans_biosynthesis	0.385027	0.769	0.952099	420
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.385027	0.769	0.952099	420
MAP00910_Nitrogen_metabolism	0.383244	0.775	0.952099	422
cell_adhesion_receptor_activity	0.372549	0.776	0.952099	423
MAP00620_Pyruvate_metabolism	0.372549	0.776	0.952099	423
anthraxPathway	0.383244	0.777	0.952099	425
g1pPathway	0.383244	0.777	0.952099	425
deathPathway	0.370766	0.782	0.955981	427
ephA4Pathway	0.383244	0.784	0.956187	428
integrinPathway	0.368984	0.791	0.956198	429
GO_ROS	0.377897	0.794	0.956198	430
MAP00710_Carbon_fixation	0.377897	0.794	0.956198	430
mspPathway	0.376114	0.794	0.956198	430
caspasePathway	0.377897	0.794	0.956198	430
GPCRs_Class_C_Metabotropic_glutamate_pheromone	0.377005	0.795	0.956198	434
gsk3Pathway	0.374332	0.803	0.957198	435
srcRPTPPathway	0.37344	0.803	0.957198	435
MAPKKK_cascade	0.377897	0.805	0.957198	437
leptinPathway	0.377897	0.805	0.957198	437
GO_0005739	0.338681	0.805	0.957198	437
MAP00230_Purine_metabolism	0.351159	0.81	0.957982	440
Complement_Activation_Classical	0.372549	0.813	0.957982	441
MAP00602_Blood_group_glycolipid_biosynthesis_neolact_series	0.372549	0.813	0.957982	441
extrinsicPathway	0.372549	0.813	0.957982	441
tubbyPathway	0.37344	0.819	0.962878	444
ST_Differentiation_Pathway_in_PC12_Cells	0.360071	0.822	0.963603	445
ptenPathway	0.368984	0.826	0.963603	446
MAP00430_Taurine_and_hypotaurine_metabolism	0.367201	0.827	0.963603	447
pentosePathway	0.367201	0.827	0.963603	447
MAP00450_Selenoamino_acid_metabolism	0.365419	0.83	0.964944	449
hifPathway	0.365419	0.835	0.9686	450
Inflammatory_Response_Pathway	0.354724	0.838	0.969925	451
plk3Pathway	0.367201	0.84	0.970088	452
huntingtonPathway	0.361854	0.845	0.971057	453
ST_STAT3_Pathway	0.365419	0.845	0.971057	453
RAR_UP	0.351159	0.849	0.971057	455
myosinPathway	0.361854	0.852	0.971057	456
slrpPathway	0.358289	0.852	0.971057	456
ST_Dictyostelium_discoideum_cAMP_Receptor_G_Protein_Independent_Pathways	0.358289	0.852	0.971057	456
torPathway	0.354724	0.855	0.972353	459
il3Pathway	0.358289	0.863	0.974326	460
MAP00400_Phenylalanine_tyrosine_and_tryptophan_biosynthesis	0.360071	0.863	0.974326	460
blymphocytePathway	0.360071	0.863	0.974326	460
MAP00680_Methane_metabolism	0.358289	0.867	0.974326	463
MAP00190_Oxidative_phosphorylation	0.342246	0.876	0.974326	464
mRNA_splicing	0.342246	0.876	0.974326	464
MAP00970_Aminoacyl_tRNA_biosynthesis	0.352941	0.876	0.974326	464
arenrf2Pathway	0.351159	0.878	0.974326	467
aktPathway	0.351159	0.878	0.974326	467
Electron_Transport_Chain	0.338681	0.88	0.974326	469
ST_p38_MAPK_Pathway	0.340463	0.881	0.974326	470
nfatPathway	0.340463	0.881	0.974326	470
CR_ANGIOG	0.354724	0.881	0.974326	470
ahspPathway	0.352941	0.884	0.97462	473
ox40Pathway	0.342246	0.885	0.97462	474
pkcPathway	0.351159	0.889	0.976964	475
MAP00530_Aminosugars_metabolism	0.345811	0.894	0.980395	476
SA_B_CELL_RECEPTOR_COMPLEXES	0.344029	0.896	0.980528	477
tcraPathway	0.336898	0.911	0.994033	478
GLYCOL	0.335116	0.914	0.994033	479
classicPathway	0.340463	0.916	0.994033	480
mRNA_binding_activity	0.338681	0.919	0.994033	481
tob1Pathway	0.333333	0.919	0.994033	481
MAP00350_Tyrosine_metabolism	0.324421	0.925	0.994033	483
MAP_kinase_activity	0.335116	0.925	0.994033	483
epoPathway	0.331551	0.926	0.994033	485
il1rPathway	0.322638	0.928	0.994033	486
mtorPathway	0.329768	0.93	0.994033	487
freePathway	0.333333	0.931	0.994033	488
ADULT_LIVER_vs_FETAL_LIVER_GNF2	0.319073	0.932	0.994033	489
MAP00030_Pentose_phosphate_pathway	0.327986	0.935	0.994033	490
il2rbPathway	0.317291	0.935	0.994033	490
malatePathway	0.324421	0.937	0.994134	492
ST_Ga12_Pathway	0.326203	0.941	0.996353	493
intrinsicPathway	0.320856	0.949	0.997102	494
monocytePathway	0.319073	0.951	0.997102	495
neutrophilPathway	0.320856	0.953	0.997102	496
MAP00670_One_carbon_pool_by_folate	0.313725	0.957	0.997102	497
Fatty_Acid_Synthesis	0.313725	0.957	0.997102	497
wntPathway	0.311943	0.962	0.997102	499
ST_Type_I_Interferon_Pathway	0.308378	0.966	0.997102	500
Eicosanoid_Synthesis	0.306595	0.967	0.997102	501
mta3Pathway	0.306595	0.967	0.997102	501
ifngPathway	0.304813	0.97	0.997102	503
fxrPathway	0.304813	0.97	0.997102	503
cardiacegfPathway	0.30303	0.97	0.997102	503
